,ceo,founded,size,revenue,industry,company_name
0,-1,1982,"5,001 to 10,000",$5B to $10B (USD),Media & Communication,"Sony Pictures Entertainment, Inc."
1,-1,1983,"501 to 1,000",$1B to $5B (USD),Manufacturing,Belkin
2,-1,1971,"more than 10,000",$1B to $5B (USD),"Energy, Mining & Utilities",Worley
3,Reed Hastings,1997,"5,001 to 10,000",more than $10B (USD),Media & Communication,Netflix
4,-1,-1,-1,-1,Information Technology,"Amazon Web Services, Inc."
5,-1,1903,"5,001 to 10,000",$1B to $5B (USD),Commercial Equipment Services,Andersen Corporation
6,Robert Iger,1923,"more than 10,000",more than $10B (USD),Healthcare,The Walt Disney Company (Corporate)
7,-1,1919,"more than 10,000",more than $10B (USD),Manufacturing,Danone
8,-1,2014,11 to 50,less than $1M (USD),-1,Descartes Labs
9,-1,1997,"1001 to 5,000",$500M to $1B (USD),Hospitals & Health Clinics,"NuVasive, Inc."
10,-1,1971,"1001 to 5,000",$100M to $500M (USD),HR Consulting,ERM Group
11,Dan L. Batrack,1966,"more than 10,000",$1B to $5B (USD),Architectural & Engineering Services,Tetra Tech
12,-1,1995,"5,001 to 10,000",$100M to $500M (USD),Education,University of Nebraska Medical Center
13,-1,1984,"501 to 1,000",$25M to $100M (USD),Media & Communication,APCO Worldwide
14,-1,1939,"501 to 1,000",less than $1M (USD),-1,Seattle Housing Authority
