,Unnamed: 0,company_name,ceo,founded,size,revenue,industry
0,0,Imperfect Foods,Philip Behn,2015,"1001 to 5,000",less than $1M (USD),Manufacturing
1,1,Jellyfish,-1,2005,51 to 200,$5M to $25M (USD),Restaurants & Food Service
2,2,LONGEVITY PARTNERS,-1,-1,11 to 50,-1,-1
3,3,"Amazon Web Services, Inc.",-1,-1,-1,-1,Information Technology
4,4,Schneider Electric,Jean-Pascal Tricoire,-1,"more than 10,000",more than $10B (USD),"Energy, Mining & Utilities"
5,5,Central Intelligence Agency,David Cohen,1947,"more than 10,000",-1,Government & Public Administration
6,6,Smith Seckman Reid,-1,1968,"501 to 1,000",$25M to $100M (USD),-1
7,7,Georgia Tech,-1,1885,"5,001 to 10,000",$1B to $5B (USD),Education
8,8,Gedeon GRC Consulting,-1,-1,-1,-1,-1
9,9,California State University,-1,-1,-1,-1,-1
10,10,"World Wide Technology, Inc.",-1,-1,-1,-1,-1
11,11,Live Nation,Michael Rapino,2005,"more than 10,000",$5B to $10B (USD),Media & Communication
12,12,Descartes Labs,-1,2014,11 to 50,less than $1M (USD),-1
13,13,Morgan Stanley,James Gorman ,1935,"more than 10,000",more than $10B (USD),Financial Services
14,14,HP,Enrique Lores,1965,"more than 10,000",more than $10B (USD),Manufacturing
15,15,Luther College,-1,1865,"501 to 1,000",$25M to $100M (USD),Education
16,16,Strategic Energy Innovations,-1,-1,11 to 50,$1M to $5M (USD),Nonprofit & NGO
17,17,Los Angeles Pacific University,"John C. Reynolds, Ph.D.",2010,201 to 500,-1,Education
18,18,"JPMorgan Chase Bank, N.A.",Jamie Dimon,1799,"more than 10,000",more than $10B (USD),Financial Services
19,19,Luxoft,-1,2000,"more than 10,000",$100M to $500M (USD),Information Technology
20,20,Amazon.com Services LLC,Jeff Bezos,1994,"more than 10,000",more than $10B (USD),Information Technology
21,21,AmeriCorps,Barbara Stewart,-1,"1001 to 5,000",-1,Government & Public Administration
22,22,M&T Bank,Rene Jones,1856,"more than 10,000",$5B to $10B (USD),Financial Services
23,23,Lucid Motors,Peter Rawlinson,2007,"1001 to 5,000",$5M to $25M (USD),Automotive
24,24,Underwriters Laboratories Inc.,Jennifer Scanlon,1894,"more than 10,000",$1B to $5B (USD),Security & Protective
25,25,Société Générale,-1,1864,"more than 10,000",more than $10B (USD),Financial Services
26,26,Durham County,-1,-1,51 to 200,$1M to $5M (USD),Government & Public Administration
27,27,The Trium Group,-1,-1,11 to 50,$1M to $5M (USD),-1
28,28,Netflix,Reed Hastings,1997,"5,001 to 10,000",more than $10B (USD),Media & Communication
29,29,The Boston Beer Company,Dave Burwick,1984,"1001 to 5,000",-1,Food & Beverage Manufacturing
30,30,Tesla,Elon Musk,2003,"more than 10,000",$5B to $10B (USD),Manufacturing
31,31,Jellyfish,-1,2005,51 to 200,$5M to $25M (USD),Restaurants & Food Service
32,32,Nature's Remedy,-1,-1,-1,-1,-1
33,33,Daimler,-1,1942,"more than 10,000",more than $10B (USD),Automotive
34,0,EME Consulting Engineering Group,-1,-1,-1,-1,-1
35,1,The Port Authority of New York and New Jersey,-1,1921,"5,001 to 10,000",$1B to $5B (USD),Transportation & Logistics
36,2,Indian Nations Council of Governments (INCOG),-1,-1,-1,-1,-1
37,3,Universal Leaf Tobacco Co. Inc.,-1,-1,-1,-1,-1
38,4,Los Angeles Pacific University,"John C. Reynolds, Ph.D.",2010,201 to 500,-1,Education
39,5,"Studio School - Los Angeles, CA",-1,-1,-1,-1,-1
40,6,American Electric Power,-1,1906,"more than 10,000",more than $10B (USD),"Energy, Mining & Utilities"
41,7,BD,Tom Polen ,1897,"more than 10,000",more than $10B (USD),Healthcare
42,8,Microsoft,Satya Nadella,1975,"more than 10,000",more than $10B (USD),Information Technology
43,9,World Wildlife Fund,Carter Roberts,1990,201 to 500,$100M to $500M (USD),Nonprofit & NGO
44,10,Institute for Sustainable Communities,-1,1991,11 to 50,$5M to $25M (USD),-1
45,11,The Boston Beer Company,Dave Burwick,1984,"1001 to 5,000",-1,Food & Beverage Manufacturing
46,12,Netflix,Reed Hastings,1997,"5,001 to 10,000",more than $10B (USD),Media & Communication
47,13,University of Michigan,Mark Schlissel,1817,"more than 10,000",$5B to $10B (USD),Education
48,14,Rockline Industries Inc,-1,1976,"1001 to 5,000",$100M to $500M (USD),Manufacturing
49,15,ERM Group,-1,1971,"1001 to 5,000",$100M to $500M (USD),Management & Consulting
50,16,Epsten Group,-1,-1,-1,-1,-1
51,17,AmeriCorps,Barbara Stewart,-1,"1001 to 5,000",-1,Government & Public Administration
52,18,Miller Coors,Gavin Hattersley,1774,"more than 10,000",$1B to $5B (USD),Manufacturing
53,19,L'Oreal,Jean Paul Agon,1909,"more than 10,000",more than $10B (USD),Beauty & Wellness
54,20,Aerion Corporation,-1,2002,11 to 50,less than $1M (USD),Aerospace & Defense
55,21,Institutional Shareholder Services,-1,1985,201 to 500,$25M to $100M (USD),-1
56,22,Verdani Partners,Daniele Horton,-1,11 to 50,$1M to $5M (USD),Management & Consulting
57,23,Uponor,-1,-1,"1001 to 5,000",$1B to $5B (USD),Manufacturing
58,24,Missouri Botanical Garden,-1,1859,201 to 500,$25M to $100M (USD),-1
59,25,Strategic Energy Innovations,-1,-1,11 to 50,$1M to $5M (USD),Nonprofit & NGO
60,26,CR&R Inc,-1,-1,"1001 to 5,000",$100M to $500M (USD),"Energy, Mining & Utilities"
61,27,L'Oreal,Jean Paul Agon,1909,"more than 10,000",more than $10B (USD),Beauty & Wellness
62,28,CEMEX,-1,2002,"5,001 to 10,000",$1B to $5B (USD),Construction & Facilities Services
63,29,Textron Specialized Vehicles,-1,1921,"501 to 1,000",$100M to $500M (USD),Manufacturing
64,0,ALDI,-1,-1,"more than 10,000",more than $10B (USD),Retail & Wholesale
65,1,Association of Independents in Radio (AIR),-1,-1,-1,-1,Civic & Social Services
66,2,Microsoft,Satya Nadella,1975,"more than 10,000",more than $10B (USD),Information Technology
67,3,Green Seal,-1,1989,less than 10,$1M to $5M (USD),-1
68,4,Jellyfish,-1,-1,-1,-1,-1
69,5,Nature's Remedy,-1,-1,-1,-1,Drug & Health Stores
70,6,Daimler,-1,1942,"more than 10,000",more than $10B (USD),Automotive
71,7,Alliance for Community Empowerment,-1,-1,11 to 50,-1,Civic & Social Services
72,8,Student Conservation Association,Jaime Berman Matyas,1957,51 to 200,$25M to $100M (USD),Organization
73,9,Above Green,-1,-1,less than 10,-1,-1
74,10,Tom's of Maine,-1,2006,51 to 200,$25M to $100M (USD),-1
