,company_name,keyn,ceo,founded,size,revenue,industry
0,Amazon.com Services LLC,201,Jeff Bezos,1994,"more than 10,000",more than $10B (USD),Information Technology
1,Holcim (US) Inc.,202,Jan Jenisch,1981,"more than 10,000",more than $10B (USD),Construction & Facilities Services
2,Hamer Environmental,203,-1,-1,-1,-1,-1
3,Jacobs,204,Steven J. Demetriou,1947,"more than 10,000",more than $10B (USD),Construction & Facilities Services
4,AmeriCorps,205,Barbara Stewart,-1,"1001 to 5,000",-1,Government & Public Administration
5,Argonne National Laboratory,206,-1,1946,less than 10,less than $1M (USD),Construction & Facilities Services
6,"Nucor Steel Kankakee, Inc.",207,-1,1971,"more than 10,000",more than $10B (USD),Manufacturing
7,ORAU,208,-1,-1,"501 to 1,000",-1,Nonprofit & NGO
8,Huntsman,209,Peter Huntsman,1970,"more than 10,000",more than $10B (USD),Manufacturing
9,State of Tennessee,210,-1,-1,"more than 10,000",$1M to $5M (USD),Government & Public Administration
10,Lake Forest,211,-1,-1,-1,-1,-1
11,Johnson Matthey,212,-1,1817,"more than 10,000",$1B to $5B (USD),Manufacturing
12,City of Lafayette,213,Lafayette City Council 2020,-1,201 to 500,-1,Government & Public Administration
13,PAC Worldwide,214,Jim Boshaw,-1,"1001 to 5,000",$100M to $500M (USD),Manufacturing
14,Levi Strauss & Co.,215,-1,1853,"more than 10,000",$1B to $5B (USD),Retail & Wholesale
15,University of Florida,216,-1,-1,-1,-1,-1
16,"Association for Energy Affordability, Inc.",217,-1,-1,51 to 200,$5M to $25M (USD),-1
17,LaBella Associates,218,-1,1978,-1,-1,-1
18,Jacobs,219,Steven J. Demetriou,1947,"more than 10,000",more than $10B (USD),Construction & Facilities Services
19,Mars,220,Grant F. Reid,1911,"more than 10,000",more than $10B (USD),Manufacturing
20,Huntsman,221,-1,-1,-1,-1,-1
21,City of Peoria,222,-1,-1,-1,-1,-1
22,ENGIE Impact,223,Mathias Lelièvre,-1,"1001 to 5,000",-1,"Energy, Mining & Utilities"
23,ORAU,224,-1,-1,-1,-1,-1
24,Truist Financial,225,-1,1872,"more than 10,000",more than $10B (USD),Financial Services
