,Unnamed: 0.1,company_name,ceo,founded,size,revenue,industry,keyn
0,641,Free Flow Wines,-1,2009,less than 10,$5M to $25M (USD),Food & Beverage Manufacturing,641
1,642,"Satco, Inc.",-1,-1,-1,-1,Banking & Lending,642
2,643,Planta,-1,-1,-1,-1,-1,643
3,644,Tom's of Maine,-1,2006,51 to 200,$25M to $100M (USD),-1,644
4,645,CRH,-1,-1,-1,-1,"Construction, Repair & Facilities Services",645
5,646,Brodie Builders,-1,-1,-1,-1,Architectural & Engineering Services,646
6,647,3M,-1,-1,-1,-1,-1,647
7,648,ERM Group,-1,1971,"1001 to 5,000",$100M to $500M (USD),Management & Consulting,648
8,649,City of Boston,Marty Walsh,1630,"more than 10,000",-1,Government & Public Administration,649
9,650,Peraton,Stu Shea,2017,"more than 10,000",$5B to $10B (USD),Aerospace & Defense,650
10,651,Cummins Inc.,Tom Linebarger,1919,"more than 10,000",more than $10B (USD),Manufacturing,651
11,652,University of California - Irvine,-1,1965,"more than 10,000",$1B to $5B (USD),Education,652
12,653,"Steven Winter Associates, Inc.",-1,1972,51 to 200,$5M to $25M (USD),-1,653
13,654,JLL,Christian Ulbrich,1985,"more than 10,000",more than $10B (USD),Real Estate,654
14,655,Curaleaf,-1,-1,-1,-1,Retail & Wholesale,655
15,656,"Agilent Technologies, Inc.",Mike McMullen,1999,"more than 10,000",$1B to $5B (USD),Healthcare,656
16,657,Yum! Brands,David Gibbs,1997,"1001 to 5,000",$1B to $5B (USD),Restaurants & Food Service,657
