,job_title,company_name,location,job_key
0,Sustainability Intern,Imperfect Foods,Remote,f5438de8a8e1629a
1,Environmental Sustainability Internship,Jellyfish,"Providence, RI",7075a3a7b5571059
2,SUSTAINABILITY ANALYST,LONGEVITY PARTNERS,"Austin, TX",2171570f88a3a65d
3,Sustainability Innovation Consultant,"Amazon Web Services, Inc.",Remote,e862369e52ce2651
4,Sustainability Associate,Schneider Electric,"Louisville, KY",00a0e465fe8342c8
5,Environmental Protection Specialist,Central Intelligence Agency,"Washington, DC 20505 (Foggy Bottom area)",77d2cc7befc9e0ac
6,Sustainability/Building Performance Analyst (Entry level),Smith Seckman Reid,"Houston, TX",67ef3f86a9bf29d3
7,Sustainability Specialist,Georgia Tech,"Atlanta, GA",bc215737e231fc5a
8,Sustainability Researcher,Gedeon GRC Consulting,"Troy, NY",57afdee952fbfc5b
9,"497827, Energy and Sustainability Analyst",California State University,"San Diego, CA",075962a41354f653
10,Global Environmental Health & Sustainability Manager,"World Wide Technology, Inc.",Remote,2e140544ee482deb
11,Zero Waste Captain - Sustainability Team,Live Nation,"Chula Vista, CA 91911",1657e5f238425d3f
12,Applied Scientist (Sustainability),Descartes Labs,Remote,398ff78866abe65d
13,Sustainability Associate,Morgan Stanley,"New York, NY",1b1a68e12949ed00
14,Sustainability and Social Impact Strategy Lead,HP,"Spring, TX 77389",b6f2b48b4f34080c
15,Sustainability Fellow,Luther College,"Decorah, IA 52101",c26ce4456a4c87e9
16,Climate Associate at Alameda County,Strategic Energy Innovations,"San Rafael, CA 94903 (Terra Linda area)",9b8f5aafb64dfcf7
17,Junior Data Analyst,Los Angeles Pacific University,"San Dimas, CA",2c96e0382cd98cbc
18,Global Real Estate - Sustainability Associate,"JPMorgan Chase Bank, N.A.","Plano, TX",9024f4bacf5ae94c
19,Change Effectiveness Principal - Consulting,Luxoft,Remote,ff6827574f190274
20,Sr. Research Scientist - Sustainability / Carbon Neutralization,Amazon.com Services LLC,"Seattle, WA",f4cad54587ce81eb
21,WTCG Sustainability Coordinator,AmeriCorps,Texas,dd585b857d307cf6
22,Sustainability Expert,M&T Bank,"Buffalo, NY",96c979e30712a1da
23,EHS Specialist - Environmental & Sustainability Programs,Lucid Motors,"Casa Grande, AZ",76f8abab69b38e1d
24,Environmental Sustainability Manager,Underwriters Laboratories Inc.,"Northbrook, IL 60062",09ac45d59b075318
25,"Internship - Debt Capital Markets, Sustainability",Société Générale,"New York, NY",484b6d4d4d8bdbff
26,ENVIRONMENTAL HEALTH SPECIALIST,Durham County,"Durham, NC 27701",aca7216abae9a4be
27,SUMMER INTERN - CONSULTING,The Trium Group,"San Francisco, CA 94133 (Financial District area)",8c68438cb7127b24
28,"Data Analyst, Sustainability",Netflix,"Los Angeles, CA",23f873fd0d5e663e
29,"Senior Manager, Environmental Sustainability",The Boston Beer Company,"Boston, MA 02210 (South Boston area)",2f1cf2d71cc5f264
30,Digital Content Internship (Fall 2021),Tesla,"Hawthorne, CA 90250 (Moneta Gardens area)",e6d5922c8ab19172
31,Environmental Sustainability Internship,Jellyfish,"Providence, RI",7075a3a7b5571059
