,Unnamed: 0,job_title,company_name,location,job_key,job_num,job_descriptions
0,335,Environmental Scientist/Wetland Specialist,"Metric Environmental, LLC","Indianapolis, IN 46250 (Fall Creek area)",e4c85f6ab7027981,335,"Job SummaryThe role of Environmental Scientist/Wetland Specialist will be to conduct the desktop investigations and associated field work to assess wetlands and waterways present within a project study area. Assessments will be conducted in accordance with the U.S. Army Corps of Engineers Wetland Delineation Manual and regional supplements and other applicable guidance documents. The Wetland Specialist will write reports including the assessment of vegetation (plant identification), identification of hydric soils, and assessment of the presence of wetland hydrology. The reports will be prepared for review and approval by state and federal agencies. Wetland and stream habitat assessments including the Ohio Rapid Assessment Method for Wetlands (ORAM), Primary Headwater Habitat Evaluation Index (HHEI), and Qualitative Habitat Evaluation Index (QHEI) will also be prepared for projects on a case by case basis. Ecological Survey Reports for Ohio Department of Transportation will also be prepared.In addition to the wetland and waterways responsibilities, the Environmental Scientist/Wetland Specialist will collect information and complete applications for Indiana Department of Natural Resources, U.S. Army Corps of Engineers, Indiana Department of Environmental Management, and Ohio EPA permits as they relate to waters impacts (ex. Section 401/404, Construction in a Floodway, etc.).Prior experience with GIS to create exhibits and analyze data, and botany experience is a plus.Required Education: Bachelor's degree in Biology, Ecology, Botany, Environmental Science, Engineering, Geology, Geography, or equivalent.Required Experience: Midwest plant identification, soil identification, technical report writing, GIS data entry, GIS exhibit creation.Job Type: Full-timePay: From $21.00 per hourEducation:Bachelor's (Required)Experience:Wetlands Determination/Delineation: 3 years (Preferred)ArcGIS: 1 year (Preferred)License/Certification:Driver's License (Preferred)Willingness To Travel:50% (Preferred)Work Location:One locationWork Remotely:No"
1,336,Environmental Specialist,Washington River Protection Solutions (WRPS),"Richland, WA",3017c47c691999df,336,"Title Environmental Specialist

Position Number 34583

Company WA River Protection Solutions

City/State Richland, WA

Location 2505GARLICK/RCHN

Posted 05/06/2021

Closes 05/16/2021

Regular/Temporary Regular

Full/Part-Time Full-Time


Job Responsibilities/Duties

Under general supervision, is responsible for providing environmental support to the Tank Farm Contractor. Supports management of environmental issues, provides environmental sustainability services and oversight to projects and operations, coordinates projects and operations, environmental regulatory interactions, and supports/implements overall environmental sustainability strategies, policies, procedures, and standards.


Responsibilities of the Environmental Specialist include but are not limited to following activities:

Ensures projects and operations achieve environmental compliance, stewardship, and sustainability.
Support/develop environmental sustainability programs including high performance sustainable buildings, recycling, procurement, education/awareness, etc.Support resolution of environmental management system and sustainability issues identified.Identify and Evaluate DOE Order, Regulation and contract changes to facilitate implementation.Support review and oversight of work/actions to support implementation of environmental programs.Develop metrics and collect data to show progress implementing sustainable projects (e.g., energy usage, water balance, building designs).Publish regular communications highlighting environmental achievements and promoting continuous improvement opportunities.Author and review WRPS administrative procedures related to assigned work area.Represent WRPS Environmental at DOE/Contractor environmental sustainability interface meetings.Develop reports and Regulatory Analysis Memoranda; support management of associated records.Support regulatory responses from inspections, letters, permitting or negotiations, as assigned.Review administrative and technical procedures developed by others.Support inspections as requested.
Other duties assigned.

Required Qualifications

Bachelor's (BA/BS) degree in Environmental Science or related science discipline and a minimum of 1 year of experience or an equivalent combination of education and/or related experience.


Desired Qualifications

Interpersonal and communication skills needed to facilitate project milestones is desirable.

Past experience being able to clearly and concisely communicate to peers and management.
Knowledge of environmental regulations and environmental sustainability is preferred.

ISO 14001:2015 Lead Auditor qualified.

Familiarity with energy, water, and greenhouse gas reduction best practices is desirable.

Ability to work with a diverse group to encourage and promote environmental sustainability is preferred.

Relocation Funding Provided No

U.S. Citizenship Required Yes

Clearance Required No

Job Classification Exempt

Shift Work Required No"
2,337,Sustainability/Jr. Analyst,Scientific Research Corporation,"Alexandria, VA 22311 (Alexandria West End area)",e9f5d558da9ed240,337,"PRIMARY DUTIES & RESPONSIBILITIES:

Identify and evaluate issues that encroach upon, or have the potential to encroach upon, the required access to DoD's test resources and provide recommended courses of action
Coordinate, facilitate, and participate in meetings across multiple time zones with a variety of stakeholders and summarize the proceedings
Review policy and legislation for their impacts on access to the Department's natural test infrastructure
Maintain knowledge and awareness of the Major Range and Test Facility Base and the challenges presented to its natural infrastructure
Prepare papers, presentations, reports, and administrative packages on sustainability issues in response to direction from TRMC leadership
Requirements:
MINIMUM SKILLS & REQUIREMENTS:

Solid analytical skills

Excellent verbal, written communications, and interpersonal skills along with a professional appearance and countenance
Comfortable interacting with high level individuals and functions well independently and in a fast paced, high pressure team environment
Active Secret Clearance
Proficient in Microsoft Professional Office Suite in a Windows environment

DESIRED SKILLS & REQUIREMENTS:

Operational military and testing experience desired
Ability to work and interact across the Military Departments and multiple offices of the Secretary of Defense as well as other local, state, federal, and tribal agencies, non-governmental organizations, industry, and private citizens at a senior level
Comfortable working a variety of disparate issues in a fluid environment simultaneously
SRC IS A CONTRACTOR FOR THE U.S. GOVERNMENT, THIS POSITION WILL REQUIRE U.S. CITIZENSHIP AS WELL AS A U.S. GOVERNMENT SECURITY CLEARANCE AT THE SECRET LEVEL

Scientific Research Corporation is an advanced information technology and engineering company that provides innovative products and services to government and private industry, as well as independent institutions. At the core of our capabilities is a seasoned team of highly skilled engineers and scientists with multidisciplinary backgrounds. This team is challenged daily to provide cutting edge technology solutions to our clients.

Scientific Research Corporation offers a competitive salary, an extensive benefits package and a work environment that encourages excellence. For positions requiring a security clearance, selected applicants will be subject to a government security investigation and must meet eligibility requirements for access to classified information.

Scientific Research Corporation is an equal opportunity and affirmative action employer that does not discriminate in employment.

All qualified applicants will receive consideration for employment without regard to their race, color, religion, sex, age, sexual orientation, gender identity, or national origin, disability or protected veteran status.

Scientific Research Corporation endeavors to make www.scires.com accessible to any and all users. If you would like to contact us regarding the accessibility of our website or need assistance completing the application process, please contact srchr@scires.com for assistance. This contact information is for accommodation requests only and cannot be used to inquire about the status of applications.

[#CJ #LI-SF1]"
3,338,Communications Manager,"Oceana, INC","Newport, RI",ee03ee00c2eff49e,338,"Are you an up-and-coming digital marketer who wants to make a difference protecting and restoring the abundance of the oceans? Come join a dedicated team of professionals who are working to protect our oceans, which play a critical role in reducing the impacts of climate change, feeding a growing global population, and supporting the livelihoods of fishers, their families, and their communities.Oceana is the world’s largest nonprofit organization focused solely on restoring the resilience and abundance of the ocean. Since being founded in 2001, we have won more than 225 policy victories and protected nearly 4 million square miles of ocean.We achieve measurable change by conducting specific, science-based campaigns with fixed deadlines and articulated goals. Our campaigns focus on getting policy changes in countries that, govern nearly one-third of the world’s wild-caught fish, including Belize, Brazil, Chile, Mexico, Peru, the Philippines, the United States, Canada and the 27 countries in the European Union.Oceana is seeking a Communications Manager to work as a member of the Sailors for the Sea Powered by Oceana team within the International Marketing and Communications department to help plan, create and execute communications strategies to grow our grassroots activist base within the sailing and boating community, raise funds and win policy campaigns. The Communications Manager will oversee all Sailors for the Sea’s communication tools, including email marketing, social media and public relations to engage, educate and activate sailors and boaters towards restoring ocean health. The Communications Manager will create content for these various platforms to position Sailors for the Sea as a leader in ocean advocacy and sustainability in the sailing sector. The Communications Manager will work on many different projects or needs on any given day and should be comfortable meeting tight deadlines and managing requests from diverse stakeholders.The ideal candidate must demonstrate a strong analytic and creative ability as well as effective communication and people skills. This candidate should be capable of quickly adapting to new situations, taking on challenges of unfamiliar tasks and drawing on past successes and failures to solve current problems. Due to COVID-19, the Communications Manager will work remotely until further notice. They will be notified if/when working from the Newport, RI office is required.Oceana values a diverse workforce and welcomes people different from each other in many ways, including characteristics such as race, gender, sexual orientation, religion, ethnicity, and national origin. Oceana considers all qualified candidates and seeks to recruit from a diverse candidate pool.“We are interested in all qualified candidates, but can only consider those candidates who have valid authorization to work in the United States.”Job Type: Full-time"
4,339,Facilities Marketing and Technology Internship,RTI International,"Durham, NC 27709",601471aa1b764613,339,"HR Directions seeks a prospect for its client RTI International for the Facilities Marketing and Technology Internship within the Facilities Engineering Group in RTI Facility Strategic Services.

Facilities Engineering is one department within Facility Strategic Services with overall responsibility for engineering planning, design and implementation activities; utility infrastructure; environmental sustainability, energy management; and support services for capital projects. We are a 24-7 organization dedicated to supporting RTI's global mission to improve the human condition by providing staff with a superior workplace environment that is designed to support Lead Forward behavior.

The Facilities Marketing and Technology Intern will collaborate with customer and facilities staff to update the Facilities website, producing a marketing and educational platform for the customer. The Intern will also assist Facilities Operating and Planning with educating RTI staff members on projects, programs, and initiatives that have been implemented to ensure employees are safe when they return to campus. The Intern will also assist the Digitization Project Specialist with selecting and identifying a Computerized Maintenance Management System to improve the overall efficiency of the facilities staff, while providing information to the customers that will improve the customer experience. The ideal candidate should be passionate about technology, digital transformation, marketing, and eager to learn.

Responsibilities
Update Facility Operations & Planning website to align with the corporate direction, improve customer experience, and update information.
Collaborate with facilities team to review and understand return to work efforts, and develop marketing strategy to communicate COVID safety and other programs to customers.
Assist Digitization Project Specialist with gathering information to assist with the selection of a Computerized
Maintenance Management System.
Assist in validation of documentation and data inside the current Computerized Maintenance Management System.
Host virtual meetings or Think Tank Sessions with customers to understand how we can improve webpage
experience, customer service, and work ticket system.
RTI's Internship Program emphasizes experiential and mentored learning experiences, providing students and recent degree recipients an opportunity to apply their academic knowledge and skills in a meaningful and practical way. We are committed to developing the future workforce by encouraging interns to explore various career paths in a nonprofit research institute setting that values diversity and inclusion. Through this program, interns will be exposed to RTI's open and educational culture; support RTI's mission to improve the human condition; and build upon their career goals.

Additional Information
This paid virtual internship will take place from May 2021 through August 2021. The internship requires a minimum commitment of 25 hours per week. Hours are flexible during business hours, Monday through Friday.
Required Qualifications
Currently enrolled rising undergraduate junior or senior or currently enrolled graduate student, pursuing or has an academic background in the following degree programs: Computer Science, Engineering, Graphic Communications, or Marketing.
Proficient with Microsoft Office Suite, including Word, Excel, PowerPoint, and Outlook.
Excellent oral and written communication skills, as well as strong interpersonal skills.
Resume included with application"
5,340,"Manager, US South/West and Mountain/West States, AWS Public Policy",Amazon.com Services LLC,"Sacramento, CA",818ecb6a310c7779,340,"At least 6+ years of experience with state lobbying and/or commensurate legislative or executive branch experience or 6+ years of experience representing a large company or association, preferably but not necessarily in the Internet/tech industry before state and local policymakers, preferably in the Southwest region
A Bachelor’s degree is required, preferably in a relevant discipline (Political Science, Public Policy, etc.). An advanced degree is preferred.

We are looking for a talented, innovative, and experienced individual to represent Amazon Web Services (AWS), the cloud computing business of Amazon, before state and local policymakers, and senior government executives in the South/West and Mountain/West US. This role on the AWS Public Policy team is focused on increasing adoption of cloud computing services throughout the region, supporting our technology infrastructure and operations, and advancing other policy priorities across the Southwestern region. You will address risks and opportunities for AWS and our customers at the state and local level and within educational institutions. This position will achieve goals through a variety of tactics, including direct lobbying, managing consultants, leveraging AWS’s participation in key trade associations, and building coalitions that are critical to advancing AWS’s public policy and business objectives in the state and local government and education sectors. You will become familiar with all aspects of AWS’s public sector and commercial businesses, and interface directly with relevant business units and technology and services teams at AWS to develop and execute effective government affairs advocacy strategies to create a policy environment that promotes cloud adoption and helps customers succeed.

Reporting to the Head of State, Local and Education Public Policy for AWS, this government affairs position shall:

Assist in developing and executing government affairs advocacy objectives and public policy priorities for AWS in Southwestern US states, including Arizona, Nevada, New Mexico, and in Mountain West states such as Colorado, Utah, and Wyoming.
Identify and communicate potential state, local, and education public sector market segment and public policy opportunities and threats, develop enhancement or mitigation strategies and policy positions; manage and coordinate external advocacy efforts, outreach programs and key initiatives in concert with AWS business objectives;
Facilitate high-level meetings between AWS executives and key stakeholders, including state and local policy makers and executives, industry associations, and alliance partners to promote and advocate the company’s public policy policies; and
Leverage appropriate corporate membership opportunities in industry associations and policy organizations on behalf of AWS, and ensure appropriate utilization of outside consultants.
Based in Phoenix, AZ or Denver, CO. Some travel required.
Strong knowledge of and background in advocacy and public policy development pertaining to information technology (IT) issues and policies such as cloud computing, IT governance, budget reform, data security, privacy, education, energy, sustainability, procurement, public sector acquisition and government contracting, cybersecurity, corporate compliance, regulated industries, and taxes.
Highly effective oral, written and interpersonal communication skills; demonstrated ability to effectively and comfortably interact at highest corporate, state and local government levels.
Maintain highest personal levels of ethical conduct, confidentiality and integrity, with strongest professional reputation in the industry.
Self-starter with proven track record of successfully working with a wide array of functional groups across an organization and cultures.
Capable of working both independently and as part of a broader team with internal and external stakeholders as needed.
Ability to identify and understand key technical aspects pertaining to corporate operations in legislative and regulatory proposals, understand business implications, and synthesize policy documents for internal and external customers.
Ability to influence, negotiate with, and persuade others is required. Must be flexible and demonstrate strong judgment/decision-making skills, and political acumen.
Demonstrated ability to build and foster effective relationships and networks with others.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us."
6,341,Postdoctoral Researcher – Process modeling and sustainability analysis for biomass conversion and plastics upcycling,National Renewable Energy Laboratory,"Golden, CO 80401",113a815ba7769dc9,341,"Posting Title
Postdoctoral Researcher – Process modeling and sustainability analysis for biomass conversion and plastics upcycling
.
Location
CO - Golden
.
Position Type
Postdoc (Fixed Term)
.
Hours Per Week
40
.
Job Description
The National Renewable Energy Laboratory (NREL) in Golden, Colorado, is the nation's primary laboratory for research, development, and deployment of renewable energy and energy efficiency technologies. The NREL mission is to develop renewable energy and energy efficient technologies and practices, advance related science and engineering, and transfer knowledge and innovation to address the nation’s energy and environmental goals. The Catalytic Carbon Transformation & Scale-Up Center at NREL has an opening for a full time Postdoctoral Researcher within the Economic, Sustainability, and Market Analysis group. The initial appointment is for one year, with possible renewal up to three years.
This position will work on two primary analysis projects, both with Aspen Plus and other process modeling tools, integrated into techno-economic analysis (TEA). The first is part of the Center for Bioenergy Innovation (CBI), in which we are developing new approaches to cost-effectively convert biomass into realistic biofuels. The successful candidate will work closely with the CBI Lignin Valorization team to conduct biorefinery analyses related to lignin valorization to fuels and chemicals. Analyses will be used to guide experimental R&D and thus a close connection to experimental efforts will be critical.
Secondly, the successful candidate will work in the BOTTLE Consortium, wherein we are conducting research aimed at upcycling today’s plastics using chemical and biological catalysis and designing tomorrow’s plastics to be recyclable-by-design. This position will focus on techno-economic analysis to baseline today’s manufacturing processes for plastics and to compare those to new chemical and biological recycling approaches. This position will specifically focus on the analysis of detailed process models to baseline the business-as-usual cases for commodity plastics manufacturing, and to write high-impact publications for the chemistry and engineering communities against which to compare innovative concepts in plastics upcycling. Work with a dynamic, multi-disciplinary experimental and modeling team will be a critical component of this position, and analysis will be expected to guide experimental research efforts.
The successful candidate will be able to:
Assimilate a wide variety of information into assessments
Contribute to the planning and execution of research and analysis
Communicate scientific results effectively, both written and oral
Author peer-reviewed publications.
Work effectively in a large, multidisciplinary team of engineers, chemists, and biologists.
.
Basic Qualifications
Must be a recent, related PhD graduate within the last three years.
.
Additional Required Qualifications
Research experience with an emphasis on chemical process development, including biomass conversion and/or plastics manufacturing.
Demonstrated experience with process modeling in Aspen Plus and associated TEA methodologies.
Demonstrated experience with doing statistical analysis (ie sensitivity or uncertainty).
PhD degree in chemical engineering or related field.
Preferred Qualifications
Understanding of current (petroleum) refinery processes.
Understanding of biomass conversion research and processes.
Experience in polymer synthesis or use.
Relevant experience with sustainable materials and practices.
Demonstrated experience with programming codes such as Python or R.
Demonstrated experience with LCA tools such as openLCA or SimaPro.
Understanding of current (petroleum) refinery processes.
Understanding of biomass conversion research and processes.
Relevant experience with sustainable materials and green chemistry practices.
.
Annual Salary Range (based on full-time 40 hours per week)
Annual Salary Range: $68,000 - $112,200
Of fers will typically be made in the bottom half of the listed range. NREL takes into consideration a candidate’s education, training, and experience, as well as the position's work location, expected quality and quantity of work, required travel (if any), external market and internal value, including seniority and merit systems, and internal pay alignment when determining the salary level for potential new employees. In compliance with the Colorado Equal Pay for Equal Work Act, a potential new employee’s salary history will not be used in compensation decisions.
Benefits Summary
Benefits include medical, dental, and vision insurance; short-term disability insurance*; pension benefits*; 403(b) Employee Savings Plan with employer match*; life and accidental death and dismemberment (AD&D) insurance; personal time off (PTO) and sick leave; and paid holidays. NREL employees may be eligible for, but are not guaranteed, performance-, merit-, and achievement- based awards that include a monetary component. Some positions may be eligible for relocation expense reimbursement.
* Based on eligibility rules
Submission Guidelines
Please note that in order to be considered an applicant for any position at NREL you must submit an application form for each position for which you believe you are qualified. Applications are not kept on file for future positions. Please include a cover letter and resume with each position application.
.
EEO Policy
NREL is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard basis of age (40 and over), color, disability, gender identity, genetic information, marital status, military or veteran status, national origin/ancestry, race, religion, creed, sex (including pregnancy, childbirth, breastfeeding), sexual orientation, and any other applicable status protected by federal, state, or local laws.
EEO is the Law | Pay Transparency Nondiscrimination | Reasonable Accommodations
E -Verify www.dhs.gov/E-Verify |For information about right to work, click here for English or here for Spanish.
E-Verify is a registered trademark of the U.S. Department of Homeland Security. This business uses E-Verify in its hiring practices to achieve a lawful workforce."
7,342,"Sustainability Program Manager, Gaming",Logitech G,"Newark, CA 94560",700ef9c7955ce1e5,342,"At Logitech G, we have a relentless commitment to making the world’s most advanced, highest performing gaming gear for all players. With world-class designers and engineers, and more patents than the industry combined, our brand is built on innovation: always revolutionising, improving – and moving things forward.
Our shared belief in gaming is that WE ALL BELIEVE IN THE POWER OF PLAY.
Play is a meaningful and profoundly human pursuit. Through play, we can do everything from imagining and exploring, to competing and taking risks. It’s a catalyst for intellectual growth, social connection and emotional fulfilment.
Most of our gamers understand the impact their choices have on the world. Savvy and ahead of the curve, today’s consumers expect the brands they follow to be naturally fighting against climate change, but they can spot ‘greenwashing’ in big brands a mile off. So we must drive eco initiatives through every level of our group, in a way that feels authentic and right for all our brands. We’re already certified Carbon-Neutral, we’re committed to 100% of our electricity being sourced from renewable energy and we support the Paris Agreement.
In order to reach our sustainability goals, we are looking for a dynamic person to be our Gaming Sustainability Program Leader. This person will report to the Head of Innovation and will work closely with the gaming leadership team to build, communicate and execute our Sustainability Strategy for Gaming.
This role will include working collaboratively across not only our gaming business but all of the business units at Logitech to build and execute the plan. This may require building a team and/or leveraging other business groups programs. This role will need to consider business and product impacts for the entire plan.
Your contribution:
Be Yourself. Be Open. Stay Hungry and Humble. Collaborate. Challenge. Decide and just Do. These are the behaviors you’ll need for success at Logitech. In this role you will:Define and execute the sustainability strategy for Logitech G & Astro Gaming.Develop meaningful and relevant product innovations.Collaborate with business, design and engineering teams to build a long-term sustainability innovation roadmap.Keep the teams and leadership updated with all things related to sustainability by reporting out at regular intervals.Work with external partners to expand and/or reach our goals.
Key Qualifications:
7+ years of demonstrable experience in a program management, innovation or product development positionIn addition to the 7+ years, an additional 3+ years working in sustainability: materials, engineering or strategy.Self-Starter with a high degree of self-motivationExcellent creative and problem-solving skills.Strong ability to lead by influence.Skilled collaborator and communicator.Strong interest in consumer electronics and technology business, industry / industry issues and competitors.Strong understanding of product (hardware and software) life cycle process, engineering principles and design constraints.Decisive and able to deal with ambiguity, guiding other team members through it.An application of the business side of thingsA sense of urgency as though the planet we are living on depends on it.
Logitech is the sweet spot for people who are passionate about products, making a mark, and having fun doing it. As a company, we’re small and flexible enough for every person to take initiative and make things happen. But we’re big enough in our portfolio, and reach for those actions to have a global impact. That’s a pretty sweet spot to be in and we’re always striving to keep it that way.
“All qualified applicants will receive consideration for employment without regard to race, sex, color, religion, sexual orientation, gender identity, national origin, protected veteran status, or on the basis of disability.”
If you require an accommodation to complete any part of the application process, or are limited in the ability or unable to access or use this online application process and need an alternative method for applying, you may contact us at 510-713- 4866 for assistance.
#LI-SN1"
8,343,Sustainability Advisor,GreenWorks Environmental,"Township of Wall, NJ 07719",c31af41707470f8d,343,"We are a group of energetic, inquisitive, fun, compassionate people with a healthy living mindset, a love of learning, and a deep respect for our environment. Our passion is living in a healthy environment that begins with our motto “Healthy Starts at Home.”
Does this sound like you? Then we would love to talk with you about joining the GreenWorks team.

Description:

This position involves educating and communicating with the general public about sustainable lifestyles and how we all can make a difference. It starts out as a part-time position that you work around your busy schedule. Familiarity with environmental issues is helpful, but not required.

Requirements:
Applicants must be a busy professional with little time for family and looking for a better way...
An entrepreneurial or self-starter spirit is helpful.
Must be willing to learn and improve themselves.
Good communication and people skills are helpful.
Diverse interests & a love of meeting people is a plus.
Ambitious, team-oriented, and willing to learn a new type of business would be awesome.
Possess an internal drive to help people and always looking for a ""better way.""
Availability:

This is a part-time opportunity (to start) that you can work around your busy schedule.

Office:
As we are an Indoor Air Quality (IAQ) Firm, this is a non-smoking / non-vaping environment where smoking / vaping is not tolerated by the Firm or our Clients.

Compensation:

Customer acquisition bonus, Team bonus, and long-term residual income coupled with travel incentives. Will train the right applicant.

Benefits:
Available on an individual / as-needed basis."
9,344,Recreation Specialist,Forestry Department,"Tillamook, OR 97141",8ec2c40d52feec6c,344,"Initial Posting Date:
05/11/2021
Application Deadline:
05/27/2021
Agency:
Forestry Department
Salary Range:
$3,354 - $5,106
Position Type:
Employee
Position Title:
Recreation Specialist (Natural Resource Specialist 1)
Job Description:
Do you enjoy working outdoors and with people? Are you interested in further developing your skills in campground and day-use recreation facility operations and maintenance? Have you wondered what it would be like to have the state forests as your workspace while you use your excellent customer service skills to help recreationalists from around the world? If so, come join our team at the Oregon Department of Forestry!
The Oregon Department of Forestry's (ODF) Mission is – To serve the people of Oregon by protecting, managing, and promoting stewardship of Oregon's forests to enhance environmental, economic, and community sustainability.
To see what it's like to be part of ODF's respectful, inclusive, and professional team,
What will you do?
You will Implement technical and operational tasks associated with the goals, strategies, and objectives of the NW Oregon State Forests Management Plan and associated Recreation Management Plans and Program Implementation and Operations Plans. These tasks include; maintaining and operating recreation program facilities and trails; planning and coordinating facility and trail improvement projects; providing basic forest education information to recreational users, coordinating volunteers program activities; and carrying out a range of general recreation management activities.
For a complete list of duties and working conditions for this position, please
The Benefits of Joining Our Team
The State of Oregon offers a competitive and affordable health and benefits package, including excellent medical, vision and dental coverage, paid holidays off, and personal business leave, as well as paid and accrued vacation leave and sick leave. In addition to standard medical benefits and employee leave, the state also provides additional optional benefits, such as basic life insurance, short-term disability, long-term disability, deferred compensation savings program, and flexible spending accounts for health care and childcare expenses.
WHAT WE ARE LOOKING FOR:
Candidates whose demonstrate skills, abilities and/or experience in the following:
Three years of experience working in the field of Parks and Recreation Administration, Outdoor Recreation Management, Recreation Planning, Forestry, Natural Resource Management, or Forestry Education and Interpretation.
OR
Bachelor's degree in Parks and Recreation Administration, Outdoor Recreation Management, Recreation Planning, Natural Resources Management, Environmental Studies, Forestry; or a related natural resource field of study.
Demonstrated ability to foster a culture of service, workforce diversity, equity and inclusion, team environment, and strong internal communication and alignment.
Skill and knowledge of basic recreation management practices and recreation facility operations and maintenance.
Highly effective communicator with excellent interpersonal skills.
Excellent customer service skills and the ability to provide exceptional customer service in a variety of settings.
Strong team member with the ability to work independently and collaboratively to achieve program goals and objectives.
Motivated individual with the ability to set daily goals and to prioritize, organize, and accomplish assigned tasks.
Ability to perform in high stress, fast paced emergency situations.
Strong problem-solving skills and the ability to evaluate situations, apply rules, and guidelines to achieve desired outcomes.
Skill in diagnosing recreation facility maintenance and operations problems and performing carpentry, painting, grounds maintenance, trail maintenance, and plumbing tasks.
Considerable project planning skills and ability to provide project guidance and support to adult in custody crews, youth corps crews, volunteers, and contract crews.
Knowledge and skill in the safe use of tools, materials, and equipment associated with maintenance, repair, and construction of recreation facility infrastructure.
Ability to work in a remote working forest landscape and negotiate rough terrain or uneven slopes on trails and roads, stoop or bend around structures or equipment or climb up/down ladders or equipment.
Excellent computer skill and the ability to work effectively with a variety programs (i.e., Microsoft Office Suite, Geographic Information Systems)
How to Apply
Your candidate profile, cover letter, and resume are the perfect place to display your interest in the position and highlight the skills and experience you will bring, making you the best candidate for the position. Submissions are screened for consistency of information and communication skills at the professional level (attention to detail, spelling, grammar, etc.).
Current State of Oregon employees - You must apply through your employee Workday account. At the time of application, please attach your current cover letter and resume .
External Applicants - Please visit the State of Oregon job opportunities web-page to submit your application for the position, which includes your current cover letter and resume.
Want to Know More? Let Me Help!
The salary listed is the non-PERS qualifying salary range. If the successful candidate is PERS qualifying, the salary range will reflect the additional 6.95%
This announcement is for one (1) permanent, full-time position in Tillamook.
If you have questions regarding this position, please contact Joe Offer , Recreation Operations Manager, at (503) 357-7464 or email: joseph.h.offer@oregon.gov
This position is represented by Service Employees International Union.
Please review the Classification and Compensation page for more details on the classification, or you may visit our website for information on the job offer process following pay equity
If you have questions about the job announcement, or need an alternate format to apply, please contact Recruiter, Paula Jones at: Paula.L.Jones@Oregon.gov | 503-945-7294.
Applicants must be authorized to work in the United States. Applicants who require VISA sponsorship will not be considered at this time
This position requires the operation of a State vehicle for the purpose of conducting official State business. An Oregon driving record check will be conducted on the top applicants to ensure a valid license and acceptable driving record. If your license is from outside Oregon, you must submit at least a three year court/DMV printout.
Please note all communication regarding this recruitment will be through Workday and it will be important for you to monitor your portal.
ODF seeks a workforce that reflects the diversity and values of Oregonians and provides a safe, inclusive, and supportive environment. ODF promotes and supports the value of Equal Employment Opportunity (EEO), Affirmative Action (AA), and diversity.
Helpful Links & Resources
Oregon Job Opportunities Webpage
Workday Applicant FAQ
Veterans | Oregon Department of Veterans' Affairs at: 1-800-692-9666
What You Need to Know to Get the Job
How to Set Job Alerts"
