,Unnamed: 0,job_title,company_name,location,job_key,job_descriptions
0,0,Sustainability Intern,Imperfect Foods,Remote,f5438de8a8e1629a,"About Imperfect
Imperfect Foods was founded in 2015 with a mission to reduce food waste and build a better food system for everyone. We offer imperfect (yet delicious) produce, affordable pantry items, and quality meat and dairy. We deliver them conveniently to our customers’ doorsteps and pride ourselves on offering up to a 30% discount compared to grocery store prices. Our customers can get the healthy, seasonal produce they want alongside the grocery staples they rely on, without having to compromise their budget or values. We’re proving that doing the right thing for the planet doesn’t have to cost more, and that shopping for quality ingredients can support the people and resources that it takes to grow our favorite foods.

We're headquartered in San Francisco with operations all over the country. Check our website to see if there is an Imperfect near you!
We're looking for folks who are positive, motivated, and ready to change the world. If that sounds like you, drop us a line!
About the Internship:
Imperfect Foods is excited to offer MBA and undergraduate students in their senior year, the opportunity to join our summer internship program starting in June 2021. This internship will focus on a major sustainable business initiative for Imperfect Foods, reusable packaging. The intern will work extensively with cross-functional partners, financial modeling, data analysis, and develop workflows. The Sustainability Intern will also work directly with leadership throughout the project and of course, be presenting it at the end of the program in August 2021.
Responsibilities:
Help leverage customer, financial, and environmental insights to craft reusable packaging framework for Imperfect Foods
Build the financial model for reusable packaging materials
Work with operations and continuous improvement engineers to design operational workflow for reusable packaging materials from production to warehousing to delivery
Design reusable box pilot program for select markets
Execute and measure the success of the current packaging return program
Skills and Qualifications:
Currently enrolled in senior year of an undergraduate program
MBA program enrollment preferred
Can build financial models and strong data analysis skills
Experience marrying trends from primary and secondary research with business insights to develop informed recommendations
Ability to work fluently with cross-functional teams in a multifaceted work environment
Strong proficiency with Excel, Google Suite, Microsoft Office and Zoom
About You:
You are a self-starter with a scrappy mindset who can creatively tackle problems
Passionate about our mission to eliminate food waste and create a better food system for all
Details of Position:
Full-time/non-exempt position reporting to the Head of Sustainability
Candidate can be remotely located but must be able to travel to one of our pack centers during the course of the internship in San Antonio, San Francisco, Tucson, Los Angeles, Chicago, Baltimore, or Portland
A recurring discount towards your Imperfect Foods box
Physical Requirements:
Sedentary work; involves sitting most of the time
Occasional movement around the office may be vital
Regular work with computers, including keyboards, mouses, and screens
Domestic travel as necessary
Individuals seeking employment at Imperfect Foods are considered without regard to race, color, religion, national origin, age, gender, marital status, ancestry, physical or mental disability, veteran status, or sexual orientation.
U.S. E-Verify Notice: Imperfect Foods participates in E-Verify in the United States. Imperfect will provide the U.S. Social Security Administration (SSA) and, if necessary, the U.S. Department of Homeland Security (DHS), with information from each new employee's Form I-9 to confirm work authorization.
How we are protecting employees from COVID-19
At Imperfect Foods, employee health and safety is our top priority. We have implemented processes and precautions to prevent the spread of COVID-19 in our facilities. We provide gloves, masks, and hand sanitizer to all essential employees who must report to work. Before entering our warehouse, employees have their temperatures checked. In addition, we take great care to ensure frequently touched surfaces are sanitized throughout the day and all warehouses are fully sanitized weekly.
We have also implemented an Emergency Sick Leave policy providing full-time and part-time employees 2 additional weeks of paid time off and up to 26 weeks paid leave if they have a confirmed case of COVID-19."
1,1,Environmental Sustainability Internship,Jellyfish,"Providence, RI",7075a3a7b5571059,"About:  Jellyfish is a newly founded venture that aims at creating a community of consumers for sustainability. We are developing an app that will enable users to compare the environmental impact of products at the grocery store, get cashback on sustainable purchases and offset their carbon footprint. The app will also include community features enabling users to communicate and challenge their friends. It basically turns saving the planet into a game!Location:  Virtual/Remote workingCompensation:  academic creditStart Date:  Summer 2021Schedule:  Flexible schedule, at least 15 hours/weekOpportunity Description: We are looking for a research intern to help us build a comprehensive database of food carbon footprints. The intern will work directly with Jellyfish founders to compare and evaluate different carbon footprinting methodologies, gather and standardize data across products, build a machine-searchable database and develop a calculator to determine diet efficiency scores based on nutritional value and emissions.Duties: Conduct research on carbon footprints and develop comparison of methodologies.Gather data on carbon footprints of different food products.Collect and enter research information into database.Qualifications and Requirements: Passion for fighting global climate change.Experience or coursework in climate science/environmental policy.Experience or coursework in research methodology.Creative writing style and excellent communications skillsMastery of Google Sheets and/or Microsoft Excel.Social Enterprise Greenhouse is assisting Jellyfish with the recruitment for this internship.Job Types: Part-time, InternshipBenefits:Flexible scheduleProfessional development assistanceSchedule:Monday to FridayWork Location:Fully RemoteWork Remotely:Yes"
2,2,SUSTAINABILITY ANALYST,LONGEVITY PARTNERS,"Austin, TX",2171570f88a3a65d,"Austin, USA
Longevity Partners is a boutique sustainability and energy advisory business set-up in London in 2015 to deliver the green economy in Europe and beyond. Since inception, our firm has more than doubled turnover year on year. Having established itself as a dominant player in the European real estate landscape, Longevity opened in France in 2018, the Netherlands in 2019 and is opening in Germany and the U.S. in 2020. Our goal is to be the recognised leading global independent ESG advisory business in the real estate sector to deliver the green economy and meet the climate goals. If you are the right person, we would love you to be part of our journey.
The company is recruiting an ambitious Sustainability Analyst who can provide technical support in the areas of sustainability, energy efficiency and renewable energy. This individual will join the advisory team and work on large impact projects across the U.S. to reduce energy consumption and invest in both energy efficiency and renewable energy projects. The role is based in Austin, Texas.
THE SUSTAINABILITY ANALYST IS RESPONSIBLE FOR
1. Undertaking a range of environmental assessments using third-party assessment methodologies such as BREEAM, LEED, SKA and WELL;
2. Liaising with client stakeholders to develop the criteria for the delivery of the desired environmental assessment rating;
3. Conducting BREEAM Pre-Assessment and providing design advice;
4. Producing evidence requirements for BREEAM credits;
5. Undertaking gap analysis report / schedule;
6. Managing own workload to meet project deadlines;
7. Producing reports and providing advice and guidance to clients and project teams;
8. Attending site visits to review progress against sustainability targets;
9. Arranging and attending meetings, taking minutes and distributing actions;
10. Completing relevant training to become certified as an assessor against one of the core assessment methodologies;
11. Assisting with pitches and tenders.
THE SUCCESSFUL INDIVIDUAL WILL HAVE
1. The ability to manage multiple on-going assignments simultaneously;
2. Knowledge of climate change legislation and regulatory requirements for energy management and emissions reduction at national level;
3. Excellent numerical ability, and thorough experience of data analysis;
4. Ability to work as part of a team and on own initiative;
5. Ability to produce structured, concise and meaningful reports, summarising results and justifying conclusions, containing very technical information
6. Excellent IT skills, including a good knowledge of Excel;
7. Excellent research and analytical skills;
8. Preferably a master’s degree in Environmental Sciences / Economics or a related subject;
9. Qualified as LEED, WELL or BREEAM AP (desirable but not essential);
10. Knowledge of Energy Star Qualification (desirable but not essential);
11. Be a LEED Green Associate (desirable but not essential).
HOW TO APPLY

To apply, please send us you Resume and Cover Letter to careers@longevity.co.uk with a mention of the role you wish to apply for in the subject."
3,3,Sustainability Innovation Consultant,"Amazon Web Services, Inc.",Remote,e862369e52ce2651,"7+ years of experience in consulting, solutions development, product management, and/or transformation roles
Industry experience in Sustainability; Example: energy/water management, renewable energy, supply-chain (GHG emission tracking and analysis, packaging, transportation)
Bachelors Degree

Do you have a passion for how industries can utilize cloud technologies to accelerate their sustainability efforts? Are you an expert in how companies and their partners are using cloud technology to revolutionize the strategy, planning, execution of sustainability initiatives? Do you thrive in a cross-functional environment, working closely with some of the best and brightest in the world?

As the Senior Sustainability Innovation Consultant, you will have an exciting opportunity to shape and deliver on a global strategy to help customers accelerate their sustainability transformations by leveraging the AWS cloud computing platform to position and drive the right technology solutions to address customer needs. As a Principal Sustainability Innovation consultant you think strategically and analytically about our customer's business and technical challenges and form innovative ideas to solve them. You have a keen sense of ownership and entrepreneurship, and, most importantly, you know how to earn trust, think big, and work cross-organizationally to deliver results. You influence others to follow with data and customer advocacy.

The right candidate will be a passionate technologist, have broad and deep experience with sustainability initiatives in multiple industries, and demonstrated go-to-market success. Sustainability is a broad domain, but general level knowledge plus expert knowledge in at least one specific sustainability domain is required. They will have a proven track record of leading complex solutions programs. They will also have working knowledge of cloud computing and the related sustainability application platforms and initiatives.

Role & Responsibilities

Working backwards from customers, identify solutions themes, prioritize a portfolio of solution(s) for each solution theme, and AWS value proposition(s) for sustainability initiatives.
Together with the broader team, develop the technical side of the strategic plan for AWS, to engage enterprise customers and partners in this industry.
Represent AWS best-practices around innovation, product management, software engineering, data and analytics, and other platform capabilities to work
Develop C-suite and line-of-business relationships within customer organization
Develop, propose, and deliver innovation offerings and engagements working with sales enablement, regional business development teams, and account teams.
Demonstrate commercial acumen to assist customers in building value propositions / business cases / supporting financial models
An understanding of the 17 United Nations sustainable development goals and IPCC studies, and how they apply to customers in different industries.
Strong technical acumen and understanding of emerging disruptive technologies, like cloud computing, IoT, Data Analytics, Machine Learning, Computer Vision, AR/VR etc.
Passion for the targeted industry sectors – good understanding of how sustainability initiatives operate and the unique characteristics of the industry ecosystems.
Exceptional interpersonal and communication (both written and verbal) skills. Experience communicating with both technical and non-technical stakeholders across multiple teams.
Passion for cloud technologies – deep understanding of public and hybrid cloud platforms.
Technical knowledge of applications, platforms, and data ecosystem, with ability to go deep on technical aspects to understand current and future customer needs and present AWS technical benefits.
Excellent business and financial acumen and negotiations skills.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

Pursuant to the Los Angeles Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.


For virtual jobs where work can be performed in Colorado: For employees based in Colorado, this position starts at 122,300 yr. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered. For more information regarding Amazon benefits, please visit https://www.amazon.jobs/en/benefits. Applicants should apply via Amazon’s internal or external careers site."
4,4,Sustainability Associate,Schneider Electric,"Louisville, KY",00a0e465fe8342c8,"Schneider Electric™ creates connected technologies that reshape industries, transform cities and enrich lives. Our 144,000 employees thrive in more than 100 countries. From the simplest of switches to complex operational systems, our technology, software and services improve the way our customers manage and automate their operations. Help us deliver solutions that ensure Life Is On everywhere, for everyone and at every moment:
.
Great people make Schneider Electric a great company.
What do you get to do in this position?
- Support the evaluation of clients’ environmental, energy and corporate social responsibility (CSR) portfolio and identify

regulated and/or market opportunities to support client sustainability objectives in collaboration with lead analysts; focus

on efforts will be from a data perspective

Develop greenhouse gas (GHG) / carbon emissions inventories, water footprints, waste footprints and other
environmental inventories including data analysis, emission factor development, calculation methodology, web-system

deployment and support clients’ third party environmental reporting activities

Perform rigorous quantitative and qualitative analysis of empirical data with particular focus on environmental data such
as carbon, water and waste including life-cycle analysis (LCA)

Contribute to the development of client sustainability strategies including preparing executive/elected official
level presentations and the analysis and benchmarking of performance to support organizational goal setting and

implementation planning

Support clients in internal and external reporting initiatives to key stakeholders
Research, filter, warehouse and communicate key emerging information and trends relating to global sustainability
initiatives such as climate change policy, corporate sustainability programs and other relevant market areas.

Research, analyze and support client-specific strategies regarding sustainability policies and activities including supply
chain management

Support the analysis, development and testing of SE's proprietary web tools
Partner with multi-disciplinary teams within SE to help coordinate service delivery
Contribute to the development of training resources for both internal and external clients
Other duties as requested
Some domestic and international travel may be necessary (5%)
Qualifications
This job might be for you if you have:
- Bachelor’s degree in a technical or quantitative field with an interest in pursuing a career in sustainability

0 – 3 years of related professional experience
Thirst for working with and analyzing sets of empirical data with proven track record of success
Some applied project experience
Ability to communicate, both written and verbally, complex analysis and ideas in a concise manner
Analytical self-starter with strong attention to detail
Strong organizational and problem-solving skills with the ability to work on complex projects
Proficient with Microsoft Office products with advanced skills in MS Excel
High commitment to company vision, values and excellent client service

Non-essential skills & qualifications:

Energy and/or environmental experience, particularly with respect to carbon, water and/or waste inventories
Experience with data management processes and technology tools/systems
Previous experience in working with sustainability programs for an organization
Experience working in a consulting / advisory environment
We seek out and reward people for being straightforward, open, passionate, effective and challenging the status quo. We want our employees to reflect the diversity of the communities in which we operate. We welcome people as they are, creating an inclusive culture where all forms of diversity are seen as a real value for the company. We’re looking for people with a passion for success — on the job and beyond. See what our people have to say about working for Schneider Electric:
.
Let us learn about you! Apply today.
You must submit an online application to be considered for any position with us. This position will be posted until filled.
It is the policy of Schneider Electric to provide equal employment and advancement opportunities in the areas of recruiting, hiring, training, transferring, and promoting all qualified individuals regardless of race, religion, color, gender, disability, national origin, ancestry, age, military status, sexual orientation, marital status, or any other legally protected characteristic or conduct.
Concerning agencies: Schneider Electric does not accept unsolicited resumes and will not be responsible for fees related to such.
Schneider Electric is an Affirmative Action and Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.
Primary Location
: US-Kentucky-Louisville
Schedule
: Full-time
Unposting Date
: Ongoing"
5,5,Environmental Protection Specialist,Central Intelligence Agency,"Washington, DC 20505 (Foggy Bottom area)",77d2cc7befc9e0ac,"Environmental Protection Specialists support the CIA's environmental safety program at Agency facilities.

Full-Time
$68,146 - $131,341*

Higher starting salary possible depending on experience level.

Bachelor's degree

About the Job

Responsibilities of the Environmental Protection Specialist include:

Advise on, manage & perform activities related to environmental protection programs (e.g., air & water quality, storage tanks, hazardous waste management, cultural & natural resources, and site restoration & remediation) at your location of assignment
Conduct inspections/audits to ensure compliance with applicable federal, state & local laws, regulations & standards & take action to correct
Build relationships with regulators & prepare permit applications & permit-required documentation
Prepare & manage support contracts, to include acting as the contracting officer’s representative
Develop policies & operating guidance/procedures
Coordinate on all construction activities to ensure environmental effects are considered in the planning & decision-making
Develop & execute a budget

This position requires a commitment to serve where mission needs are located. You must maintain an ongoing readiness to travel and relocate to meet short and long-term organizational requirements. A commitment to travel overseas, including hardship locations, is required.

Who You’ll Work With

At the Central Intelligence Agency (CIA), we recognize our Nation’s strength comes from the diversity of its people. People from a broad range of backgrounds and viewpoints work at CIA, and our diverse teams are the reason we can keep our country safe.

Read more about diversity and inclusion

What You’ll Get

Our benefits support every aspect of a working professional’s life, including health and wellness, time off, family, finances, and continuing education. Our programs include highly sought-after government health benefits, flexible schedules, sick leave, and childcare. In some cases, we also offer sign-on incentives and cover moving expenses if you relocate.

As a CIA employee, you’ll also get the satisfaction of knowing your work is part of something bigger than yourself. Our work is driven by one mission: to keep our Nation safe. Every day is an opportunity to enhance U.S. national security.

Learn more about working at CIA

Minimum Qualifications
Bachelor’s degree in one of the following fields or related studies:
Environmental Science/Policy/Management
Environmental Engineering
Biology
Ecology
Chemistry, Biochemistry, Geochemistry
Hydrogeology
Geosciences
GPA of at least a 3.0 on a 4-point scale is preferred, but exceptions may be made for extenuating circumstances
Excellent verbal, quantitative, and written communication skills
Strong interpersonal skills
Highly motivated self-starter, who is flexible, detail-oriented, and is able to work independently and as part of a team
Willing to take on additional duties related to the Occupational Safety and Health field, as well as become a subject matter expert in a specific environmental field
Willing to travel & regularly rotate assignments/locations
What You’ll Need to Apply
Resume
Unofficial transcripts for all degrees
A cover letter in which you specify your qualifications for this position. Please address why you want to work in this role and what differentiates you from other applicants."
6,6,Sustainability/Building Performance Analyst (Entry level),Smith Seckman Reid,"Houston, TX",67ef3f86a9bf29d3,"A leading comprehensive engineering design and consulting firm, SSR provides innovative solutions for clients with facility and infrastructure challenges. To achieve client needs, SSR has multiple locations across the US. Working with a diverse group of individuals in a variety of markets, our team of experts partner with our clients to deliver advanced solutions that last.SSR is committed to providing opportunities and benefits to colleagues that promote living fully. Through various competitive benefits and programs available, SSR supports the health, well-being, and personal growth of its employees. SSR offers benefit options including medical, dental, and vision coverage, a generous contribution to employee-owned Health Savings Account, 401(k) with matching up to the full IRS maximum, tuition reimbursement, and a variety of other employee incentives and wellness programs.We know that SSR is a great place, but don’t take our word for it, see what our colleagues are saying at www.ssr-inc.com/life-at-ssrWhy Choose SSR? Look at our Twitter, Facebook and LinkedIn pages to discover more.We are Certified ""Great Place to Work"" http://www.greatplacetowork.com/certified-company/1001559Looking for a Sustainability/Building Performance Analyst for Houston (location flexible: Nashville, Memphis, Dallas, Houston, Sarasota, Denver, with preference for Dallas or Memphis)The Sustainability / Building Performance Analyst is responsible for working as part of our team to achieve our clients’ high-performance design and sustainable project goals. This challenging and rewarding position includes technical calculations and reporting, energy analysis, interacting with the design team to ensure goals are being designed to meet the client’s needs, task management, verifying green code requirements are being met, and generally supporting our sustainability project managers in efforts related to energy and sustainability consulting. We are seeking a candidate who is passionate about energy efficiency, sustainability, and health and wellness- and is excited to join our team to help us design and build high performing buildings.Reports To: Service Line DirectorKey Responsibilities:Analyzes, reviews, and/or consults on project documentation of energy-related systems found in architectural, mechanical, electrical, and plumbing drawings and specificationsPerforms take-offs of design documents for pertinent energy performance and sustainability criteriaSupports energy modelers in activity to build energy models in various programsContributes to sustainability policies and reports to deliver to the clientCalculates and documents LEED credits to submit for reviewResearches project sites to document LEED creditsSupports development marketing materials to illustrate services offered and case study projectsDevelops a professional rapport with colleagues and clientsContinuously reviews code and policy updates/addendums to see if any are applicable to a current projectReviews project submittals to confirm compliance with project specificationsContributes to presentations on the LEED process and/or credit requirements to educate clients and colleaguesParticipates in sustainability Charrettes to guide the client through design and constructionEngages in local events (e.g., USGBC or CMAA events) to promote the company’s services and presence in applicable markets and organizationsCoordinates project work with team to complete deadlines on scheduleAn ideal candidate will possess the following requirements:Bachelor’s degree in relevant field: engineering, architecture, building science, or related discipline of studyPassion for sustainability and energy efficiency in the built environmentCursory knowledge of energy modeling software simulation programs (e.g., TraneTrace, IES)Knowledge of Microsoft Office (i.e., Word, Excel, PowerPoint, and Outlook) softwareKnowledge of HVAC systems, loads, and controlsKnowledge of sustainable building practicesKnowledge of LEED credit requirementsTime-management skillsTechnical writing skillsJudgement and decision-making skillsStrong interpersonal skillsSelf-motivationWillingness to travel (potential for 15% travel once COVID restrictions are listed)SSR is an Equal Opportunity / Affirmative Action EmployerEOE/Minorities/Females/Vet/DisabilityOur mission is to make a positive difference for our clients, colleagues, and communities.Job Type: Full-time"
7,7,Sustainability Specialist,Georgia Tech,"Atlanta, GA",bc215737e231fc5a,"Responsible for advancing the sustainability goals of the Department, while serving as the main point of contact for sustainability-related topics with internal partners (staff, students, and staff) and external stakeholders. This position will interact on a regular basis with: This position will interact on a regular basis primarily with staff and vendors associated with the Department as well as sustainability stakeholders within Georgia Tech and the greater community. This position typically will advise and counsel: This position will primarily advise and counsel dining staff, other facilities personnel, and students. This position will supervise: NA

Responsibilities

Job Duty 1 -

Implement the sustainability strategy of the department, dependent on current goals and priorities of leadership and other key stakeholders.

Job Duty 2 -

Collect and report all data related to the Department¿s sustainability efforts as requested and support Department communications through the creation of outreach and engagement materials.

Job Duty 3 -

Serve as liaison for student engagement in Department sustainability efforts and support student led sustainability initiatives that align with Department goals (e.g., community garden, course projects).

Job Duty 4 -

Attend committees within Georgia Tech and the greater Atlanta area related to the sustainability focus areas of the Department and serve as the main representative of those sustainable initiatives.

Job Duty 5 -

Regularly update the Department¿s leadership on the progress of sustainability initiatives and to ensure they are brought into the program.

Job Duty 6 -

Routinely review similar programs at Georgia Tech¿s peers to determine best practices in the field as they develop.

Job Duty 7 -

Perform other related duties as assigned.

Required Qualifications

Educational Requirements
Bachelor's Degree

Other Required Qualifications
A valid driver's license is required.

Required Experience
Two - three years of job-related experience, or an equivalent combination of education and experience.

Preferred Qualifications

Preferred Experience
Three or more years of job-related experience.

Knowledge, Skills, & Abilities

SKILLS
This job requires skills in print and digital marketing, and graphic design.

Equal Employment Opportunity

Georgia Tech provides equal opportunity to all faculty, staff, students, and all other members of the Georgia Tech community, including applicants for admission and/or employment, contractors, volunteers, and participants in institutional programs, activities, or services. Georgia Tech complies with all applicable laws and regulations governing equal opportunity in the workplace and in educational activities. Georgia Tech prohibits discrimination, including discriminatory harassment, on the basis of race, ethnicity, ancestry, color, religion, sex (including pregnancy), sexual orientation, gender identity, national origin, age, disability, genetics, or veteran status in its programs, activities, employment, and admissions. This prohibition applies to faculty, staff, students, and all other members of the Georgia Tech community, including affiliates, invitees, and guests"
8,8,Sustainability Researcher,Gedeon GRC Consulting,"Troy, NY",57afdee952fbfc5b,"The primary emphasis of the role is to promote socioeconomic and environmental sustainability in urban design, city planning, and policy projects. This is accomplished through employing rigorous economic and strategic planning techniques and developing innovative analytical approaches to providing solutions for delivering sustainability in varied contexts. Supporting the Company’s brand in sustainability matters, including developing educational programs for the company’s foundation.
This position will focus on climate adaptation, resiliency planning and greenhouse gas mitigation projects primarily for local government and other public agencies, although could also include work for the private sector.

ESSENTIAL DUTIES AND RESPONSIBILITIES
Conducting surveys and interviews about the regional, economic or social factors that impact a particular issue in sustainability.
Writing reports of recent research findings.
Preparing grant proposals to request funding for future research projects.
Developing, organizing and facilitating roundtable discussions with senior policy and business decision makers.
Performing research about best practices and new technologies in sustainability, corporate social responsibility and environmental monitoring.
Providing recommendations to internal and external clients on effective sustainable development strategies.
Attending conferences and workshops on the latest advancements and issues in sustainability research.
WORK ENVIRONMENT
In the office:
Analyzing data from tests to measure energy efficiency, resource consumption and emissions .
Reviewing recent reports from other experts in the field on sustainable technologies, practices and policies.
Designing research protocols and procedures for upcoming studies .
Contacting subject matter experts, government officials and business leaders to elicit their participation in research projects.
Developing and monitoring budgets to manage the costs and staff time required for studies in progress.

In the field:
Conducting experiments and collecting samples to measure resource use and potential environmental contamination or pollution
Meeting research participants on-site to conduct interviews and focus groups
EDUCATION AND/OR EXPERIENCE
Bachelor’s degree (B.S., or B.A.) in Engineering, Architecture, Environmental Science or related field; minimum of 2-5 years’ experience preferably in a consulting or design capacity.
Solid knowledge of and experience with sustainability rating and certification systems, processes, and document submission.
Demonstrated experience contributing to programs, plans and strategies for project teams seeking to meet high performance sustainability objectives.
Experience in team facilitation.
Excellent communication and facilitation skills (verbal and written). – LEED/Envision accreditation.
Experience with CAD and Revit an asset.
Advanced Excel/VBA capability is an asset.
A personal commitment to sustainable design is essential for this position. We are most interested in candidates that are passionate about innovation and committed to continued personal development.
QUALIFICATIONS
Ability to operate, maintain, troubleshoot, and perform repairs to audio and video equipment.
Ability to effectively manage time and schedules.
Records maintenance skills.
Ability to configure, operate and maintain studio and/or field audio, lighting and associated production equipment.
Knowledge of computerized tape editing applications and procedures.
Knowledge of professional audio and/or video tape editing and post-production procedures, techniques, and standards.
PHYSICAL DEMANDS
Visual acuity adequate to perform job duties, including reading information from printed sources and computer screen.
Up to Travel 25%.
Ability to climb ladders and stairs.
Ability to work outdoors and in unconditioned rooms on occasion.
EEO STATEMENT
Gedeon GRC Consulting is an equal opportunity employer. We will not discriminate against employees or applicants for employment because of race, color, religion, sex, sexual orientation, gender identity, national origin, age, marital status, genetic information, disability or military status or any other protected class. This policy shall apply to all employment actions, including but not limited to recruitment, hiring, upgrading, promotions, transfer, demotion, layoff, recall, termination, rates of pay, or other forms of compensation and selection for training, including apprenticeship, at all levels of employment."
9,9,"497827, Energy and Sustainability Analyst",California State University,"San Diego, CA",075962a41354f653,"Position Summary
Energy Analyst – Under general direction of the Assistant Director- Campus Sustainability, the Energy Analyst is responsible for the management of campus energy and sustainability data, including external billing and chargeback billing. Incumbent to ensure meters are working properly and communicating with network. Incumbent will also ensure regulatory compliance reporting requirements are met in a timely manner. Ensure data is accurately and effectively tracked and utilized. Incumbent will administer the modernization of the Energy Information System and will manage various energy efficiency projects. Incumbent will also manage and analyze other sustainability data sources such as water, carbon, and waste. Assist with other sustainability efforts, including projects and events.

Objectives – Provide an “Industry Best Practice” preventive maintenance organization to the San Diego State University community.

Expectations – Provide a thorough and accurate accounting of time and materials. Complete all routine work assignments and perform all additional duties as assigned. Incumbent maintains equipment and a safe and clean working environment. Consistent meeting of university needs in a timely and professional manner with increasingly improved skill. Follow-up on every project or task to ensure that all items are completed to the satisfaction of the FS Associate Director. Maintains a responsible attendance record, punctuality and consistent meeting of deadlines. Builds and maintains internal and external customer satisfaction with the products and services offered by the organization. Seeks feedback, is responsive to stakeholders and takes appropriate action for the situation.

Performs work in a manner that supports and facilitates the work of others in Facilities Services and the university community. Maintains a positive and cooperative working relationship with members of the department and campus community by practicing individual dignity, using tact and diplomacy, and always being respectful and civil. Utilizes respectful communication when dealing with people in all situations; demonstrating restraint, fairness and firmness. Works effectively to understand by carefully listening and working to be understood. Demonstrates restraint, fairness and firmness with all people in all situations.

Must be able to effectively communicate and successfully interact with a variety of individuals in a diverse environment at all levels of the organization. Ability to maintain confidentiality and work appropriately within the department hierarchy. Communicates effectively to resolve problems and proactively resolve conflicts or disagreements in the workplace, makes suggestions and ask pertinent questions to facilitate effective communication.

Must be able to perform strenuous physical work while using mechanical aptitude and motor coordination. Ability to implement safety procedures, resolve problems and improve safety in the workplace. Works to instill in others the importance of workplace safety rules and regulations and takes appropriate actions. Ability to conduct hazard assessments, address hazards appropriately and apply controls as appropriate to address/mitigate hazards; promptly follow-up on health and safety risks, taking appropriate action(s) and provides necessary reports and documentation.

For more information regarding Facilities Services, click here.

This is a full-time (1.0 time-base), benefits eligible, permanent (probationary) position. This position is designated exempt under FLSA and is not eligible for overtime compensation. Standard work hours are Monday – Friday, 8:00 a.m. to 4:30 p.m., but may vary based on operational needs.

Education and Experience
Knowledge and skills in the applicable administrative and/or program field with a foundational knowledge of public administration principles, practices, and methods. This foundation would normally be obtained through a bachelor's degree and/or equivalent training and administrative work experience involving study, analysis, and/or evaluation leading to the development or improvement of administrative policies, procedures, practices, or programs.

Required Licenses and Certifications
Valid California Driver’s License

Preferred Qualifications
Bachelor’s Degree in a relevant field.
Two years of professional experience in energy/sustainability management and/or plant operations.
Knowledge of various types of commissioning.
One year of professional experience with the installation, maintenance, and trouble-shooting of metering infrastructure.
Experience with various software related to energy, analytics, and data visualization (e.g. CRM, Skyspark, CMMS, Events2HVAC).
Knowledge of modern construction practices and building codes.
Certified Energy Manager or Energy Manager in Training (within two years of hire).
LEED Accredited Professional or Green Associate (within two years of hire).

Specialized Skills Required
Proficiency in MS Excel.
Knowledge of Sustainability concepts and efforts.

Compensation and Benefits
Starting salary upon appointment not expected to exceed $6,250 per month. CSU Classification Salary Range: $4,693 - $8,489 per month. Salary placement is determined by the education, experience, and qualifications the candidate brings to the position, internal equity, and the hiring department's fiscal resources.

San Diego State University offers a rich benefits package that constitutes a major portion of total compensation. For more information regarding SDSU benefits, please click here.

Supplemental Information
Review of the required application materials, including cover letters and resumes, will begin on October 29, 2020. To receive full consideration, apply by October 28, 2020.


The person holding this position is considered a ‘mandated reporter’ under the California Child Abuse and Neglect Reporting Act and is required to comply with the requirements set forth in CSU Executive Order 1083 as a condition of employment.


San Diego State University is not a sponsoring agency for staff or management positions (e.g., H-1B visa). Applicants must currently be authorized to work in the United States on a full-time basis. Offers of employment are contingent upon the presentation of documents that demonstrate a person's identity and authorization to work in the United States, which are consistent with the provisions of the Immigration Reform and Control Act.


A background check (including a criminal records check) must be completed satisfactorily before any candidate can be offered a position with the CSU. Failure to satisfactorily complete the background check may affect the application status of applicants or continued employment of current CSU employees who apply for the position.

SDSU is a smoke-free campus. For more information, please click here.

SDSU is an equal opportunity employer and does not discriminate against persons on the basis of race, religion, national origin, sexual orientation, gender, gender identity and expression, marital status, age, disability, pregnancy, medical condition, or covered veteran status.

Applicants with disabilities and applicants who require assistance completing an application may contact Meracle Cothron at mcothron@sdsu.edu."
